sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
29035992619,2020-09-26T12:00:00Z,88,23,20,45,115,54,0.08745247148288973
29022429831,2020-09-25T11:56:30Z,79,21,22,36,70,54,0.10973724884080371
29010353731,2020-09-24T08:34:30Z,71,20,18,33,57,53,0.15456238361266295
28999154470,2020-09-23T11:06:30Z,65,16,23,26,42,53,0.06516290726817042
28989424288,2020-09-22T15:25:30Z,86,22,18,46,105,52,0.16110581506196378
28966358836,2020-09-21T07:48:30Z,91,22,22,47,88,54,0.08172043010752689
28956210310,2020-09-20T14:27:00Z,65,17,17,31,36,52,0.14792899408284024
28942978934,2020-09-19T14:01:30Z,91,23,22,46,123,54,0.09345794392523364
28932028680,2020-09-18T14:44:30Z,81,21,22,38,65,54,0.08421052631578947
28915974338,2020-09-17T11:38:30Z,77,20,21,36,35,54,0.10823909531502424
28901794646,2020-09-16T12:18:00Z,90,23,21,46,108,54,0.11100196463654224
28889056190,2020-09-15T12:04:30Z,83,21,22,40,76,54,0.08735332464146023
28889056189,2020-09-14T13:01:00Z,82,22,20,40,83,53,0.12562814070351758
28889056188,2020-09-13T14:22:00Z,87,22,19,46,85,52,0.0800711743772242
28889056187,2020-09-12T08:02:30Z,72,18,20,34,39,51,0.09352517985611511
28889056186,2020-09-11T12:25:30Z,88,22,20,46,102,50,0.10054559625876851
28889056185,2020-09-10T17:38:00Z,83,21,21,41,71,49,0.07525655644241733
28626435424,2020-08-27T07:45:00Z,79,21,21,37,57,54,0.11616766467065869
28613137290,2020-08-26T11:48:00Z,90,23,21,46,121,54,0.12358572671888599
28599209620,2020-08-25T08:06:30Z,73,17,23,33,76,55,0.08710217755443886
28588980123,2020-08-24T14:37:30Z,86,19,22,45,89,55,0.11027332704995288
28575301181,2020-08-23T11:52:00Z,84,21,21,42,69,56,0.1443661971830986
28561608125,2020-08-22T09:03:00Z,81,21,21,39,70,56,0.1116951379763469
28550763164,2020-08-21T09:41:30Z,77,21,20,36,83,55,0.1668696711327649
28535608062,2020-08-20T08:51:30Z,88,21,21,46,60,56,0.09971236816874401
28523562473,2020-08-19T10:23:00Z,89,22,20,47,89,56,0.11212121212121212
28503750742,2020-08-18T07:01:30Z,81,22,16,43,104,53,0.16359163591635917
28496658129,2020-08-17T11:13:30Z,87,23,21,43,122,54,0.12472806381435823
28466722384,2020-08-15T10:35:00Z,76,20,19,37,74,53,0.12661498708010335
28455062911,2020-08-14T12:16:00Z,91,24,21,46,126,53,0.09133858267716535
28443001822,2020-08-13T08:55:00Z,77,19,23,35,58,55,0.08496732026143791
28432492503,2020-08-12T13:53:30Z,75,19,21,35,47,56,0.1161928306551298
28414863310,2020-08-11T10:22:30Z,71,19,20,32,45,54,0.11764705882352941
28398874677,2020-08-10T09:16:30Z,77,21,21,35,80,55,0.13608562691131498
28387674607,2020-08-09T12:14:30Z,88,21,21,46,62,55,0.11992786293958521
28374194484,2020-08-08T12:56:30Z,87,21,20,46,74,54,0.11087645195353749
28362872531,2020-08-07T12:05:30Z,88,21,22,45,88,54,0.11510791366906475
28348307799,2020-08-06T10:02:30Z,88,22,20,46,84,53,0.13467656415694593
28316162276,2020-08-04T09:31:00Z,90,22,22,46,99,54,0.09126984126984126
28293783336,2020-08-03T02:29:00Z,71,19,15,37,58,52,0.12278308321964529
28285333400,2020-08-02T10:54:00Z,76,17,21,38,78,53,0.10457516339869281
28275879238,2020-08-01T11:12:00Z,92,24,22,46,124,54,0.07876370887337986
28275879237,2020-07-31T13:26:30Z,82,22,18,42,92,54,0.13399503722084366
28275879236,2020-07-30T10:32:00Z,82,21,22,39,92,54,0.103831891223733
28234461326,2020-07-29T09:30:30Z,67,18,20,29,77,54,0.10740203193033382
28222689529,2020-07-28T09:27:30Z,84,22,22,40,99,55,0.1028858218318695
28207115900,2020-07-27T11:10:00Z,85,22,20,43,90,55,0.13487241798298907
28193012277,2020-07-26T09:05:00Z,82,21,22,39,44,56,0.07682119205298013
28182360510,2020-07-25T12:53:30Z,90,23,21,46,118,55,0.11752360965372508
28169382426,2020-07-24T11:25:00Z,89,22,22,45,105,55,0.10708661417322834
28158848841,2020-07-23T17:54:30Z,60,19,14,27,23,55,0.16712328767123288
