Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2019-07-01T00:00:00,335,1,iOS Device,Very Distracting,-1
2019-07-01T09:00:00,981,1,iOS Device,Very Distracting,-1
2019-07-01T10:00:00,2757,1,iOS Device,Very Distracting,-1
2019-07-01T11:00:00,3555,1,iOS Device,Very Distracting,-1
2019-07-01T12:00:00,3456,1,iOS Device,Very Distracting,-1
2019-07-01T13:00:00,458,1,iOS Device,Very Distracting,-1
2019-07-01T14:00:00,2020,1,iOS Device,Very Distracting,-1
2019-07-01T15:00:00,1342,1,iOS Device,Very Distracting,-1
2019-07-01T16:00:00,288,1,iOS Device,Very Distracting,-1
2019-07-01T17:00:00,3600,1,iOS Device,Very Distracting,-1
2019-07-01T18:00:00,2305,1,iOS Device,Very Distracting,-1
2019-07-01T19:00:00,968,1,iOS Device,Very Distracting,-1
2019-07-01T20:00:00,994,1,iOS Device,Very Distracting,-1
2019-07-01T21:00:00,1686,1,iOS Device,Very Distracting,-1
2019-07-01T22:00:00,692,1,iOS Device,Very Distracting,-1
2019-07-02T00:00:00,2013,1,iOS Device,Very Distracting,-1
2019-07-02T10:00:00,747,1,iOS Device,Very Distracting,-1
2019-07-02T11:00:00,2055,1,iOS Device,Very Distracting,-1
2019-07-02T12:00:00,3540,1,iOS Device,Very Distracting,-1
2019-07-02T13:00:00,1868,1,iOS Device,Very Distracting,-1
2019-07-02T14:00:00,1260,1,iOS Device,Very Distracting,-1
2019-07-02T15:00:00,6342,1,iOS Device,Very Distracting,-1
2019-07-02T16:00:00,1141,1,iOS Device,Very Distracting,-1
2019-07-02T17:00:00,3592,1,iOS Device,Very Distracting,-1
2019-07-02T18:00:00,3860,1,iOS Device,Very Distracting,-1
2019-07-02T19:00:00,1340,1,iOS Device,Very Distracting,-1
2019-07-02T20:00:00,11,1,iOS Device,Very Distracting,-1
2019-07-02T21:00:00,555,1,iOS Device,Very Distracting,-1
2019-07-02T22:00:00,3600,1,iOS Device,Very Distracting,-1
2019-07-02T23:00:00,1621,1,iOS Device,Very Distracting,-1
2019-07-03T10:00:00,474,1,iOS Device,Very Distracting,-1
2019-07-03T11:00:00,1664,1,iOS Device,Very Distracting,-1
2019-07-03T12:00:00,3397,1,iOS Device,Very Distracting,-1
2019-07-03T13:00:00,998,1,iOS Device,Very Distracting,-1
2019-07-03T14:00:00,829,1,iOS Device,Very Distracting,-1
2019-07-03T15:00:00,623,1,iOS Device,Very Distracting,-1
