Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2019-10-01T15:00:00,2477,1,iOS Device,Very Distracting,-1
2019-10-01T16:00:00,1426,1,iOS Device,Very Distracting,-1
2019-10-01T18:00:00,2800,1,iOS Device,Very Distracting,-1
2019-10-01T19:00:00,2818,1,iOS Device,Very Distracting,-1
2019-10-01T20:00:00,939,1,iOS Device,Very Distracting,-1
2019-10-02T10:00:00,2981,1,iOS Device,Very Distracting,-1
2019-10-02T11:00:00,245,1,iOS Device,Very Distracting,-1
2019-10-02T17:00:00,1733,1,iOS Device,Very Distracting,-1
2019-10-02T18:00:00,29,1,iOS Device,Very Distracting,-1
2019-10-04T15:00:00,1524,1,iOS Device,Very Distracting,-1
2019-10-04T16:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-04T17:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-04T18:00:00,2423,1,iOS Device,Very Distracting,-1
2019-10-04T21:00:00,1181,1,iOS Device,Very Distracting,-1
2019-10-05T10:00:00,1919,1,iOS Device,Very Distracting,-1
2019-10-05T11:00:00,274,1,iOS Device,Very Distracting,-1
2019-10-05T13:00:00,1264,1,iOS Device,Very Distracting,-1
2019-10-05T14:00:00,746,1,iOS Device,Very Distracting,-1
2019-10-05T15:00:00,187,1,iOS Device,Very Distracting,-1
2019-10-05T16:00:00,874,1,iOS Device,Very Distracting,-1
2019-10-05T17:00:00,1252,1,iOS Device,Very Distracting,-1
2019-10-05T18:00:00,3444,1,iOS Device,Very Distracting,-1
2019-10-05T19:00:00,3116,1,iOS Device,Very Distracting,-1
2019-10-05T20:00:00,1638,1,iOS Device,Very Distracting,-1
2019-10-05T21:00:00,2686,1,iOS Device,Very Distracting,-1
2019-10-05T22:00:00,1138,1,iOS Device,Very Distracting,-1
2019-10-06T14:00:00,786,1,iOS Device,Very Distracting,-1
2019-10-06T15:00:00,794,1,iOS Device,Very Distracting,-1
2019-10-06T16:00:00,819,1,iOS Device,Very Distracting,-1
2019-10-06T17:00:00,824,1,iOS Device,Very Distracting,-1
2019-10-06T18:00:00,1457,1,iOS Device,Very Distracting,-1
2019-10-06T20:00:00,918,1,iOS Device,Very Distracting,-1
2019-10-07T07:00:00,994,1,iOS Device,Very Distracting,-1
2019-10-07T08:00:00,712,1,iOS Device,Very Distracting,-1
2019-10-07T09:00:00,2271,1,iOS Device,Very Distracting,-1
2019-10-07T10:00:00,3903,1,iOS Device,Very Distracting,-1
2019-10-07T11:00:00,3331,1,iOS Device,Very Distracting,-1
2019-10-07T12:00:00,2175,1,iOS Device,Very Distracting,-1
2019-10-07T13:00:00,282,1,iOS Device,Very Distracting,-1
2019-10-07T14:00:00,686,1,iOS Device,Very Distracting,-1
2019-10-07T15:00:00,2275,1,iOS Device,Very Distracting,-1
2019-10-07T17:00:00,2834,1,iOS Device,Very Distracting,-1
2019-10-07T18:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-07T19:00:00,1376,1,iOS Device,Very Distracting,-1
2019-10-07T20:00:00,2939,1,iOS Device,Very Distracting,-1
2019-10-07T21:00:00,1754,1,iOS Device,Very Distracting,-1
2019-10-07T22:00:00,2563,1,iOS Device,Very Distracting,-1
2019-10-08T07:00:00,34,1,iOS Device,Very Distracting,-1
2019-10-08T08:00:00,2434,1,iOS Device,Very Distracting,-1
2019-10-08T09:00:00,2162,1,iOS Device,Very Distracting,-1
2019-10-08T11:00:00,2907,1,iOS Device,Very Distracting,-1
2019-10-08T12:00:00,3120,1,iOS Device,Very Distracting,-1
2019-10-08T13:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-08T14:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-08T15:00:00,3596,1,iOS Device,Very Distracting,-1
2019-10-08T16:00:00,3601,1,iOS Device,Very Distracting,-1
2019-10-08T17:00:00,1489,1,iOS Device,Very Distracting,-1
2019-10-08T18:00:00,1433,1,iOS Device,Very Distracting,-1
2019-10-08T20:00:00,211,1,iOS Device,Very Distracting,-1
2019-10-08T22:00:00,1802,1,iOS Device,Very Distracting,-1
2019-10-08T23:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-09T00:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-09T01:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-09T02:00:00,1325,1,iOS Device,Very Distracting,-1
2019-10-09T11:00:00,695,1,iOS Device,Very Distracting,-1
2019-10-09T12:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-09T13:00:00,3554,1,iOS Device,Very Distracting,-1
2019-10-09T14:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-09T15:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-09T16:00:00,3536,1,iOS Device,Very Distracting,-1
2019-10-09T17:00:00,3529,1,iOS Device,Very Distracting,-1
2019-10-09T18:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-09T19:00:00,1978,1,iOS Device,Very Distracting,-1
2019-10-09T20:00:00,1763,1,iOS Device,Very Distracting,-1
2019-10-09T21:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-09T22:00:00,279,1,iOS Device,Very Distracting,-1
2019-10-10T07:00:00,35,1,iOS Device,Very Distracting,-1
2019-10-10T09:00:00,1338,1,iOS Device,Very Distracting,-1
2019-10-10T10:00:00,1494,1,iOS Device,Very Distracting,-1
2019-10-10T11:00:00,3457,1,iOS Device,Very Distracting,-1
2019-10-10T12:00:00,2921,1,iOS Device,Very Distracting,-1
2019-10-10T13:00:00,3234,1,iOS Device,Very Distracting,-1
2019-10-10T14:00:00,2691,1,iOS Device,Very Distracting,-1
2019-10-10T15:00:00,54,1,iOS Device,Very Distracting,-1
2019-10-11T10:00:00,3558,1,iOS Device,Very Distracting,-1
2019-10-11T11:00:00,2789,1,iOS Device,Very Distracting,-1
2019-10-11T12:00:00,2439,1,iOS Device,Very Distracting,-1
2019-10-11T13:00:00,3241,1,iOS Device,Very Distracting,-1
2019-10-11T14:00:00,2891,1,iOS Device,Very Distracting,-1
2019-10-11T15:00:00,2028,1,iOS Device,Very Distracting,-1
2019-10-11T17:00:00,3319,1,iOS Device,Very Distracting,-1
2019-10-11T18:00:00,2556,1,iOS Device,Very Distracting,-1
2019-10-11T21:00:00,90,1,iOS Device,Very Distracting,-1
2019-10-12T10:00:00,880,1,iOS Device,Very Distracting,-1
2019-10-12T11:00:00,3098,1,iOS Device,Very Distracting,-1
2019-10-12T12:00:00,1078,1,iOS Device,Very Distracting,-1
2019-10-12T13:00:00,2121,1,iOS Device,Very Distracting,-1
2019-10-12T14:00:00,3563,1,iOS Device,Very Distracting,-1
2019-10-12T15:00:00,3530,1,iOS Device,Very Distracting,-1
2019-10-12T16:00:00,3600,1,iOS Device,Very Distracting,-1
2019-10-12T17:00:00,1074,1,iOS Device,Very Distracting,-1
2019-10-12T18:00:00,547,1,iOS Device,Very Distracting,-1
2019-10-12T19:00:00,398,1,iOS Device,Very Distracting,-1
2019-10-12T20:00:00,298,1,iOS Device,Very Distracting,-1
2019-10-13T03:00:00,32,1,iOS Device,Very Distracting,-1
2019-10-13T16:00:00,2486,1,iOS Device,Very Distracting,-1
