Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2020-04-02T04:00:00,3112,1,iOS Device,Very Distracting,-1
2020-04-02T05:00:00,598,1,iOS Device,Very Distracting,-1
2020-04-02T12:00:00,3007,1,iOS Device,Very Distracting,-1
2020-04-02T13:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-02T14:00:00,1333,1,iOS Device,Very Distracting,-1
2020-04-02T15:00:00,271,1,iOS Device,Very Distracting,-1
2020-04-02T18:00:00,10,1,iOS Device,Very Distracting,-1
2020-04-04T20:00:00,53,1,iOS Device,Very Distracting,-1
2020-04-04T23:00:00,2,1,iOS Device,Very Distracting,-1
2020-04-05T17:00:00,30,1,iOS Device,Very Distracting,-1
2020-04-05T19:00:00,14,1,iOS Device,Very Distracting,-1
2020-04-06T20:00:00,20,1,iOS Device,Very Distracting,-1
2020-04-06T22:00:00,1338,1,iOS Device,Very Distracting,-1
2020-04-06T23:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-07T00:00:00,1338,1,iOS Device,Very Distracting,-1
2020-04-07T01:00:00,1939,1,iOS Device,Very Distracting,-1
2020-04-07T02:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-07T03:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-07T04:00:00,2353,1,iOS Device,Very Distracting,-1
2020-04-07T15:00:00,47,1,iOS Device,Very Distracting,-1
2020-04-07T16:00:00,2506,1,iOS Device,Very Distracting,-1
2020-04-07T17:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-07T18:00:00,283,1,iOS Device,Very Distracting,-1
2020-04-10T23:00:00,2393,1,iOS Device,Very Distracting,-1
2020-04-11T00:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-11T01:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-11T02:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-11T03:00:00,1535,1,iOS Device,Very Distracting,-1
2020-04-11T16:00:00,344,1,iOS Device,Very Distracting,-1
2020-04-11T17:00:00,244,1,iOS Device,Very Distracting,-1
2020-04-11T18:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-11T19:00:00,3235,1,iOS Device,Very Distracting,-1
2020-04-11T22:00:00,2391,1,iOS Device,Very Distracting,-1
2020-04-11T23:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-12T00:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-12T01:00:00,2376,1,iOS Device,Very Distracting,-1
2020-04-12T09:00:00,19,1,iOS Device,Very Distracting,-1
2020-04-12T10:00:00,2517,1,iOS Device,Very Distracting,-1
2020-04-12T12:00:00,18,1,iOS Device,Very Distracting,-1
2020-04-12T14:00:00,1957,1,iOS Device,Very Distracting,-1
2020-04-12T15:00:00,73,1,iOS Device,Very Distracting,-1
2020-04-12T16:00:00,3002,1,iOS Device,Very Distracting,-1
2020-04-12T17:00:00,3209,1,iOS Device,Very Distracting,-1
2020-04-12T18:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-12T19:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-12T20:00:00,708,1,iOS Device,Very Distracting,-1
2020-04-12T22:00:00,1006,1,iOS Device,Very Distracting,-1
2020-04-13T02:00:00,2609,1,iOS Device,Very Distracting,-1
2020-04-13T03:00:00,1817,1,iOS Device,Very Distracting,-1
2020-04-13T11:00:00,1189,1,iOS Device,Very Distracting,-1
2020-04-13T12:00:00,4341,1,iOS Device,Very Distracting,-1
2020-04-13T13:00:00,1710,1,iOS Device,Very Distracting,-1
2020-04-13T14:00:00,1205,1,iOS Device,Very Distracting,-1
2020-04-13T15:00:00,4248,1,iOS Device,Very Distracting,-1
2020-04-13T16:00:00,480,1,iOS Device,Very Distracting,-1
2020-04-13T17:00:00,2957,1,iOS Device,Very Distracting,-1
2020-04-13T18:00:00,4178,1,iOS Device,Very Distracting,-1
2020-04-13T19:00:00,3463,1,iOS Device,Very Distracting,-1
2020-04-13T20:00:00,1299,1,iOS Device,Very Distracting,-1
2020-04-13T21:00:00,3566,1,iOS Device,Very Distracting,-1
2020-04-13T22:00:00,1680,1,iOS Device,Very Distracting,-1
2020-04-14T04:00:00,46,1,iOS Device,Very Distracting,-1
2020-04-14T12:00:00,1200,1,iOS Device,Very Distracting,-1
2020-04-14T13:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-14T14:00:00,3576,1,iOS Device,Very Distracting,-1
2020-04-14T15:00:00,3600,1,iOS Device,Very Distracting,-1
2020-04-14T16:00:00,2420,1,iOS Device,Very Distracting,-1
2020-04-14T17:00:00,1005,1,iOS Device,Very Distracting,-1
2020-04-14T18:00:00,438,1,iOS Device,Very Distracting,-1
2020-04-14T19:00:00,3553,1,iOS Device,Very Distracting,-1
2020-04-14T20:00:00,2312,1,iOS Device,Very Distracting,-1
2020-04-14T21:00:00,31,1,iOS Device,Very Distracting,-1
2020-04-14T22:00:00,1,1,iOS Device,Very Distracting,-1
2020-04-15T04:00:00,464,1,iOS Device,Very Distracting,-1
2020-04-15T05:00:00,279,1,iOS Device,Very Distracting,-1
2020-04-15T12:00:00,2911,1,iOS Device,Very Distracting,-1
2020-04-15T13:00:00,1926,1,iOS Device,Very Distracting,-1
2020-04-15T14:00:00,389,1,iOS Device,Very Distracting,-1
2020-04-15T15:00:00,3233,1,iOS Device,Very Distracting,-1
2020-04-15T16:00:00,508,1,iOS Device,Very Distracting,-1
2020-04-15T23:00:00,233,1,iOS Device,Very Distracting,-1
2020-04-16T00:00:00,3008,1,iOS Device,Very Distracting,-1
2020-04-16T01:00:00,439,1,iOS Device,Very Distracting,-1
2020-04-16T09:00:00,101,1,iOS Device,Very Distracting,-1
