Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2019-05-24T12:00:00,579,1,iOS Device,Very Distracting,-1
2019-05-24T13:00:00,1816,1,iOS Device,Very Distracting,-1
2019-05-24T14:00:00,3022,1,iOS Device,Very Distracting,-1
2019-05-24T16:00:00,460,1,iOS Device,Very Distracting,-1
2019-05-24T17:00:00,2757,1,iOS Device,Very Distracting,-1
2019-05-24T18:00:00,2506,1,iOS Device,Very Distracting,-1
2019-05-24T19:00:00,3524,1,iOS Device,Very Distracting,-1
2019-05-24T20:00:00,2881,1,iOS Device,Very Distracting,-1
2019-05-24T21:00:00,851,1,iOS Device,Very Distracting,-1
2019-05-24T23:00:00,756,1,iOS Device,Very Distracting,-1
2019-05-25T00:00:00,478,1,iOS Device,Very Distracting,-1
2019-05-25T08:00:00,1826,1,iOS Device,Very Distracting,-1
2019-05-25T09:00:00,1200,1,iOS Device,Very Distracting,-1
2019-05-25T10:00:00,3228,1,iOS Device,Very Distracting,-1
2019-05-25T11:00:00,3569,1,iOS Device,Very Distracting,-1
2019-05-25T12:00:00,2836,1,iOS Device,Very Distracting,-1
2019-05-25T13:00:00,1848,1,iOS Device,Very Distracting,-1
2019-05-25T14:00:00,40,1,iOS Device,Very Distracting,-1
2019-05-25T15:00:00,4,1,iOS Device,Very Distracting,-1
2019-05-25T17:00:00,1692,1,iOS Device,Very Distracting,-1
2019-05-25T18:00:00,1980,1,iOS Device,Very Distracting,-1
2019-05-25T19:00:00,1070,1,iOS Device,Very Distracting,-1
2019-05-25T20:00:00,805,1,iOS Device,Very Distracting,-1
2019-05-25T21:00:00,794,1,iOS Device,Very Distracting,-1
2019-05-25T22:00:00,337,1,iOS Device,Very Distracting,-1
2019-05-25T23:00:00,772,1,iOS Device,Very Distracting,-1
2019-05-26T10:00:00,248,1,iOS Device,Very Distracting,-1
2019-05-26T11:00:00,118,1,iOS Device,Very Distracting,-1
2019-05-26T12:00:00,1821,1,iOS Device,Very Distracting,-1
2019-05-26T13:00:00,912,1,iOS Device,Very Distracting,-1
2019-05-26T14:00:00,739,1,iOS Device,Very Distracting,-1
2019-05-26T15:00:00,1717,1,iOS Device,Very Distracting,-1
2019-05-26T16:00:00,1466,1,iOS Device,Very Distracting,-1
2019-05-26T17:00:00,1020,1,iOS Device,Very Distracting,-1
2019-05-26T18:00:00,36,1,iOS Device,Very Distracting,-1
2019-05-26T20:00:00,1070,1,iOS Device,Very Distracting,-1
2019-05-26T21:00:00,2225,1,iOS Device,Very Distracting,-1
2019-05-26T22:00:00,1912,1,iOS Device,Very Distracting,-1
2019-05-27T11:00:00,2019,1,iOS Device,Very Distracting,-1
2019-05-27T12:00:00,1187,1,iOS Device,Very Distracting,-1
2019-05-27T13:00:00,647,1,iOS Device,Very Distracting,-1
2019-05-27T14:00:00,1080,1,iOS Device,Very Distracting,-1
2019-05-27T15:00:00,829,1,iOS Device,Very Distracting,-1
2019-05-27T16:00:00,1069,1,iOS Device,Very Distracting,-1
2019-05-27T17:00:00,587,1,iOS Device,Very Distracting,-1
2019-05-27T18:00:00,17,1,iOS Device,Very Distracting,-1
2019-05-27T19:00:00,7,1,iOS Device,Very Distracting,-1
2019-05-27T20:00:00,1007,1,iOS Device,Very Distracting,-1
2019-05-27T21:00:00,993,1,iOS Device,Very Distracting,-1
2019-05-28T09:00:00,323,1,iOS Device,Very Distracting,-1
2019-05-28T10:00:00,171,1,iOS Device,Very Distracting,-1
2019-05-28T11:00:00,1329,1,iOS Device,Very Distracting,-1
2019-05-28T12:00:00,1096,1,iOS Device,Very Distracting,-1
2019-05-28T13:00:00,130,1,iOS Device,Very Distracting,-1
2019-05-28T14:00:00,808,1,iOS Device,Very Distracting,-1
2019-05-28T15:00:00,3600,1,iOS Device,Very Distracting,-1
2019-05-28T16:00:00,3600,1,iOS Device,Very Distracting,-1
2019-05-28T17:00:00,3271,1,iOS Device,Very Distracting,-1
2019-05-28T18:00:00,1330,1,iOS Device,Very Distracting,-1
2019-05-28T19:00:00,1509,1,iOS Device,Very Distracting,-1
2019-05-28T20:00:00,1360,1,iOS Device,Very Distracting,-1
2019-05-28T21:00:00,2225,1,iOS Device,Very Distracting,-1
2019-05-28T22:00:00,3569,1,iOS Device,Very Distracting,-1
2019-05-28T23:00:00,1907,1,iOS Device,Very Distracting,-1
2019-05-29T08:00:00,297,1,iOS Device,Very Distracting,-1
2019-05-29T09:00:00,1788,1,iOS Device,Very Distracting,-1
2019-05-29T10:00:00,1429,1,iOS Device,Very Distracting,-1
2019-05-29T11:00:00,3269,1,iOS Device,Very Distracting,-1
2019-05-29T12:00:00,3044,1,iOS Device,Very Distracting,-1
2019-05-29T15:00:00,2033,1,iOS Device,Very Distracting,-1
2019-05-29T16:00:00,1932,1,iOS Device,Very Distracting,-1
2019-05-29T17:00:00,1058,1,iOS Device,Very Distracting,-1
2019-05-29T18:00:00,370,1,iOS Device,Very Distracting,-1
2019-05-29T19:00:00,348,1,iOS Device,Very Distracting,-1
2019-05-29T20:00:00,1184,1,iOS Device,Very Distracting,-1
2019-05-29T21:00:00,1469,1,iOS Device,Very Distracting,-1
2019-05-29T22:00:00,3321,1,iOS Device,Very Distracting,-1
2019-05-30T08:00:00,477,1,iOS Device,Very Distracting,-1
2019-05-30T09:00:00,1594,1,iOS Device,Very Distracting,-1
2019-05-30T10:00:00,3346,1,iOS Device,Very Distracting,-1
2019-05-30T11:00:00,1905,1,iOS Device,Very Distracting,-1
2019-05-30T12:00:00,365,1,iOS Device,Very Distracting,-1
2019-05-30T16:00:00,2849,1,iOS Device,Very Distracting,-1
2019-05-30T17:00:00,2629,1,iOS Device,Very Distracting,-1
2019-05-30T18:00:00,2005,1,iOS Device,Very Distracting,-1
2019-05-30T19:00:00,3437,1,iOS Device,Very Distracting,-1
2019-05-30T20:00:00,3257,1,iOS Device,Very Distracting,-1
2019-05-30T21:00:00,3286,1,iOS Device,Very Distracting,-1
2019-05-30T22:00:00,3081,1,iOS Device,Very Distracting,-1
2019-05-30T23:00:00,3106,1,iOS Device,Very Distracting,-1
2019-05-31T09:00:00,315,1,iOS Device,Very Distracting,-1
2019-05-31T10:00:00,3600,1,iOS Device,Very Distracting,-1
2019-05-31T11:00:00,3494,1,iOS Device,Very Distracting,-1
2019-05-31T12:00:00,1494,1,iOS Device,Very Distracting,-1
2019-05-31T13:00:00,2216,1,iOS Device,Very Distracting,-1
2019-05-31T14:00:00,2214,1,iOS Device,Very Distracting,-1
2019-05-31T15:00:00,3088,1,iOS Device,Very Distracting,-1
2019-05-31T16:00:00,3504,1,iOS Device,Very Distracting,-1
2019-05-31T17:00:00,1593,1,iOS Device,Very Distracting,-1
2019-05-31T18:00:00,2714,1,iOS Device,Very Distracting,-1
2019-05-31T19:00:00,2176,1,iOS Device,Very Distracting,-1
2019-05-31T20:00:00,259,1,iOS Device,Very Distracting,-1
2019-05-31T21:00:00,2669,1,iOS Device,Very Distracting,-1
2019-05-31T23:00:00,1762,1,iOS Device,Very Distracting,-1
2019-06-01T14:00:00,33,1,iOS Device,Very Distracting,-1
2019-06-01T16:00:00,2326,1,iOS Device,Very Distracting,-1
2019-06-01T17:00:00,2202,1,iOS Device,Very Distracting,-1
2019-06-01T18:00:00,3600,1,iOS Device,Very Distracting,-1
2019-06-01T19:00:00,3167,1,iOS Device,Very Distracting,-1
2019-06-01T20:00:00,146,1,iOS Device,Very Distracting,-1
2019-06-01T21:00:00,3184,1,iOS Device,Very Distracting,-1
2019-06-01T22:00:00,2973,1,iOS Device,Very Distracting,-1
2019-06-02T08:00:00,638,1,iOS Device,Very Distracting,-1
2019-06-02T09:00:00,1639,1,iOS Device,Very Distracting,-1
2019-06-02T10:00:00,1575,1,iOS Device,Very Distracting,-1
2019-06-02T15:00:00,472,1,iOS Device,Very Distracting,-1
2019-06-02T16:00:00,3600,1,iOS Device,Very Distracting,-1
2019-06-02T17:00:00,369,1,iOS Device,Very Distracting,-1
2019-06-02T18:00:00,582,1,iOS Device,Very Distracting,-1
2019-06-02T19:00:00,1013,1,iOS Device,Very Distracting,-1
2019-06-02T20:00:00,2063,1,iOS Device,Very Distracting,-1
2019-06-02T21:00:00,1168,1,iOS Device,Very Distracting,-1
2019-06-02T22:00:00,1194,1,iOS Device,Very Distracting,-1
2019-06-03T09:00:00,188,1,iOS Device,Very Distracting,-1
2019-06-03T10:00:00,856,1,iOS Device,Very Distracting,-1
2019-06-03T11:00:00,23,1,iOS Device,Very Distracting,-1
2019-06-03T12:00:00,1566,1,iOS Device,Very Distracting,-1
2019-06-03T13:00:00,58,1,iOS Device,Very Distracting,-1
2019-06-03T14:00:00,500,1,iOS Device,Very Distracting,-1
2019-06-03T15:00:00,1926,1,iOS Device,Very Distracting,-1
2019-06-03T16:00:00,647,1,iOS Device,Very Distracting,-1
2019-06-03T17:00:00,2866,1,iOS Device,Very Distracting,-1
2019-06-03T18:00:00,2546,1,iOS Device,Very Distracting,-1
2019-06-03T21:00:00,28,1,iOS Device,Very Distracting,-1
2019-06-03T22:00:00,2270,1,iOS Device,Very Distracting,-1
2019-06-04T07:00:00,1577,1,iOS Device,Very Distracting,-1
2019-06-04T08:00:00,19,1,iOS Device,Very Distracting,-1
2019-06-04T09:00:00,1725,1,iOS Device,Very Distracting,-1
2019-06-04T10:00:00,216,1,iOS Device,Very Distracting,-1
2019-06-04T11:00:00,70,1,iOS Device,Very Distracting,-1
2019-06-04T12:00:00,2557,1,iOS Device,Very Distracting,-1
2019-06-04T13:00:00,306,1,iOS Device,Very Distracting,-1
2019-06-04T14:00:00,482,1,iOS Device,Very Distracting,-1
2019-06-04T15:00:00,3030,1,iOS Device,Very Distracting,-1
2019-06-04T16:00:00,2530,1,iOS Device,Very Distracting,-1
2019-06-04T17:00:00,3581,1,iOS Device,Very Distracting,-1
2019-06-04T18:00:00,3153,1,iOS Device,Very Distracting,-1
2019-06-04T19:00:00,1137,1,iOS Device,Very Distracting,-1
2019-06-04T20:00:00,1703,1,iOS Device,Very Distracting,-1
2019-06-04T21:00:00,3288,1,iOS Device,Very Distracting,-1
2019-06-04T22:00:00,13,1,iOS Device,Very Distracting,-1
2019-06-05T07:00:00,394,1,iOS Device,Very Distracting,-1
2019-06-05T08:00:00,2392,1,iOS Device,Very Distracting,-1
2019-06-05T09:00:00,1616,1,iOS Device,Very Distracting,-1
2019-06-05T10:00:00,1155,1,iOS Device,Very Distracting,-1
2019-06-05T11:00:00,396,1,iOS Device,Very Distracting,-1
2019-06-05T12:00:00,3114,1,iOS Device,Very Distracting,-1
2019-06-05T13:00:00,566,1,iOS Device,Very Distracting,-1
2019-06-05T15:00:00,1810,1,iOS Device,Very Distracting,-1
2019-06-05T16:00:00,3561,1,iOS Device,Very Distracting,-1
2019-06-05T17:00:00,3163,1,iOS Device,Very Distracting,-1
2019-06-05T18:00:00,1473,1,iOS Device,Very Distracting,-1
2019-06-05T20:00:00,3112,1,iOS Device,Very Distracting,-1
2019-06-05T21:00:00,849,1,iOS Device,Very Distracting,-1
2019-06-05T22:00:00,1437,1,iOS Device,Very Distracting,-1
2019-06-06T08:00:00,459,1,iOS Device,Very Distracting,-1
