Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2018-10-21T17:00:00,294,1,iOS Device,Very Distracting,-1
2018-10-21T18:00:00,1282,1,iOS Device,Very Distracting,-1
2018-10-21T19:00:00,1277,1,iOS Device,Very Distracting,-1
2018-10-21T20:00:00,469,1,iOS Device,Very Distracting,-1
2018-10-22T06:00:00,309,1,iOS Device,Very Distracting,-1
2018-10-22T07:00:00,2413,1,iOS Device,Very Distracting,-1
2018-10-22T08:00:00,714,1,iOS Device,Very Distracting,-1
2018-10-22T09:00:00,754,1,iOS Device,Very Distracting,-1
2018-10-22T10:00:00,2274,1,iOS Device,Very Distracting,-1
2018-10-22T11:00:00,2868,1,iOS Device,Very Distracting,-1
2018-10-22T12:00:00,1088,1,iOS Device,Very Distracting,-1
2018-10-22T13:00:00,955,1,iOS Device,Very Distracting,-1
2018-10-22T14:00:00,2164,1,iOS Device,Very Distracting,-1
2018-10-22T15:00:00,3600,1,iOS Device,Very Distracting,-1
2018-10-22T16:00:00,1546,1,iOS Device,Very Distracting,-1
2018-10-22T18:00:00,1024,1,iOS Device,Very Distracting,-1
2018-10-22T19:00:00,805,1,iOS Device,Very Distracting,-1
2018-10-22T20:00:00,330,1,iOS Device,Very Distracting,-1
2018-10-22T21:00:00,2061,1,iOS Device,Very Distracting,-1
2018-10-22T22:00:00,87,1,iOS Device,Very Distracting,-1
2018-10-23T10:00:00,1848,1,iOS Device,Very Distracting,-1
2018-10-23T11:00:00,2532,1,iOS Device,Very Distracting,-1
2018-10-23T16:00:00,447,1,iOS Device,Very Distracting,-1
2018-10-23T17:00:00,3554,1,iOS Device,Very Distracting,-1
2018-10-24T09:00:00,1002,1,iOS Device,Very Distracting,-1
2018-10-24T10:00:00,10,1,iOS Device,Very Distracting,-1
2018-10-24T11:00:00,2634,1,iOS Device,Very Distracting,-1
2018-10-24T12:00:00,1025,1,iOS Device,Very Distracting,-1
2018-10-24T13:00:00,2814,1,iOS Device,Very Distracting,-1
2018-10-24T14:00:00,1201,1,iOS Device,Very Distracting,-1
2018-10-24T15:00:00,1667,1,iOS Device,Very Distracting,-1
2018-10-24T16:00:00,144,1,iOS Device,Very Distracting,-1
2018-10-24T17:00:00,2645,1,iOS Device,Very Distracting,-1
2018-10-24T18:00:00,3552,1,iOS Device,Very Distracting,-1
2018-10-24T19:00:00,2049,1,iOS Device,Very Distracting,-1
2018-10-24T20:00:00,3205,1,iOS Device,Very Distracting,-1
2018-10-24T21:00:00,727,1,iOS Device,Very Distracting,-1
2018-10-25T10:00:00,424,1,iOS Device,Very Distracting,-1
2018-10-25T11:00:00,3240,1,iOS Device,Very Distracting,-1
2018-10-25T12:00:00,3600,1,iOS Device,Very Distracting,-1
2018-10-25T13:00:00,1812,1,iOS Device,Very Distracting,-1
2018-10-25T14:00:00,404,1,iOS Device,Very Distracting,-1
2018-10-25T15:00:00,1144,1,iOS Device,Very Distracting,-1
2018-10-25T16:00:00,13,1,iOS Device,Very Distracting,-1
2018-10-25T17:00:00,3255,1,iOS Device,Very Distracting,-1
2018-10-25T18:00:00,1653,1,iOS Device,Very Distracting,-1
2018-10-25T19:00:00,2439,1,iOS Device,Very Distracting,-1
2018-10-26T07:00:00,274,1,iOS Device,Very Distracting,-1
2018-10-26T08:00:00,171,1,iOS Device,Very Distracting,-1
2018-10-26T09:00:00,3300,1,iOS Device,Very Distracting,-1
2018-10-26T10:00:00,3421,1,iOS Device,Very Distracting,-1
2018-10-26T11:00:00,3111,1,iOS Device,Very Distracting,-1
2018-10-26T12:00:00,1132,1,iOS Device,Very Distracting,-1
2018-10-26T13:00:00,2964,1,iOS Device,Very Distracting,-1
2018-10-26T14:00:00,1448,1,iOS Device,Very Distracting,-1
2018-10-26T15:00:00,2497,1,iOS Device,Very Distracting,-1
2018-10-26T16:00:00,1726,1,iOS Device,Very Distracting,-1
2018-10-26T17:00:00,3043,1,iOS Device,Very Distracting,-1
2018-10-26T18:00:00,1635,1,iOS Device,Very Distracting,-1
2018-10-26T19:00:00,2585,1,iOS Device,Very Distracting,-1
2018-10-26T20:00:00,1122,1,iOS Device,Very Distracting,-1
2018-10-26T21:00:00,153,1,iOS Device,Very Distracting,-1
2018-10-26T22:00:00,621,1,iOS Device,Very Distracting,-1
2018-10-27T09:00:00,746,1,iOS Device,Very Distracting,-1
2018-10-27T10:00:00,321,1,iOS Device,Very Distracting,-1
2018-10-27T11:00:00,3279,1,iOS Device,Very Distracting,-1
2018-10-27T12:00:00,2359,1,iOS Device,Very Distracting,-1
2018-10-27T13:00:00,1490,1,iOS Device,Very Distracting,-1
2018-10-27T14:00:00,19,1,iOS Device,Very Distracting,-1
2018-10-27T15:00:00,618,1,iOS Device,Very Distracting,-1
2018-10-27T16:00:00,1242,1,iOS Device,Very Distracting,-1
2018-10-27T17:00:00,659,1,iOS Device,Very Distracting,-1
2018-10-27T18:00:00,2894,1,iOS Device,Very Distracting,-1
2018-10-27T19:00:00,1996,1,iOS Device,Very Distracting,-1
2018-10-27T21:00:00,334,1,iOS Device,Very Distracting,-1
2018-10-27T22:00:00,26,1,iOS Device,Very Distracting,-1
2018-10-27T23:00:00,126,1,iOS Device,Very Distracting,-1
2018-10-28T01:00:00,1,1,iOS Device,Very Distracting,-1
2018-10-28T09:00:00,954,1,iOS Device,Very Distracting,-1
2018-10-28T10:00:00,3018,1,iOS Device,Very Distracting,-1
2018-10-29T14:00:00,891,1,iOS Device,Very Distracting,-1
2018-10-29T15:00:00,2663,1,iOS Device,Very Distracting,-1
2018-10-29T16:00:00,2723,1,iOS Device,Very Distracting,-1
2018-10-29T17:00:00,3600,1,iOS Device,Very Distracting,-1
2018-10-29T18:00:00,3600,1,iOS Device,Very Distracting,-1
2018-10-29T19:00:00,1882,1,iOS Device,Very Distracting,-1
2018-10-29T20:00:00,2992,1,iOS Device,Very Distracting,-1
2018-10-29T21:00:00,164,1,iOS Device,Very Distracting,-1
2018-10-29T22:00:00,62,1,iOS Device,Very Distracting,-1
2018-10-29T23:00:00,45,1,iOS Device,Very Distracting,-1
2018-10-30T10:00:00,2922,1,iOS Device,Very Distracting,-1
