Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2022-04-01T05:00:00,97,1,Firefox,Browsers,0
2022-04-01T05:00:00,31,1,bap.aws.opennetworkexchange.net,Uncategorized,0
2022-04-01T05:00:00,20,1,installer,General Utilities,1
2022-04-01T05:00:00,14,1,expressvpn,Internet Utilities,1
2022-04-01T05:00:00,14,1,Blank Web Browser,Browsers,0
2022-04-01T05:00:00,9,1,expressvpn.com,General Utilities,1
2022-04-01T05:00:00,3,1,hyatt.com,Travel & Outdoors,2
2022-04-01T05:00:00,1,1,RescueTime,Intelligence,2
2022-04-01T05:00:00,1,1,drive.google.com,General Business,2
2022-04-01T05:00:00,1,1,SecurityAgent,Systems Operations,2
2022-04-01T07:00:00,724,1,microsoft word,Writing,2
2022-04-01T07:00:00,315,1,artic.edu,General Reference & Learning,2
2022-04-01T07:00:00,304,1,sales.artic.edu,General Reference & Learning,2
2022-04-01T07:00:00,293,1,expressvpn,Internet Utilities,1
2022-04-01T07:00:00,186,1,expressvpn.com,General Utilities,1
2022-04-01T07:00:00,145,1,Mail,Email,1
2022-04-01T07:00:00,65,1,technadu.com,Uncategorized,0
2022-04-01T07:00:00,56,1,spotify,Music,-1
2022-04-01T07:00:00,45,1,temp-mail.org,Uncategorized,0
2022-04-01T07:00:00,43,1,System Preferences,Computer,1
2022-04-01T07:00:00,43,1,Blank Web Browser,Browsers,0
2022-04-01T07:00:00,39,1,google.com,Search,1
2022-04-01T07:00:00,27,1,Firefox,Browsers,0
2022-04-01T07:00:00,24,1,Finder,Computer,1
2022-04-01T07:00:00,15,1,about:newtab,Browsers,0
2022-04-01T07:00:00,11,1,gradescope.com,General Reference & Learning,2
2022-04-01T07:00:00,8,1,bcourses.berkeley.edu,General Reference & Learning,2
2022-04-01T07:00:00,2,1,installer,General Utilities,1
2022-04-01T07:00:00,2,1,app.sli.do,Uncategorized,0
2022-04-01T07:00:00,1,1,citypass.com,Uncategorized,0
2022-04-04T14:00:00,1154,1,bcourses.berkeley.edu,General Reference & Learning,2
2022-04-04T14:00:00,878,1,Zoom,Meetings,2
2022-04-04T14:00:00,223,1,Mail,Email,1
2022-04-04T14:00:00,188,1,en.wikipedia.org,General Reference & Learning,2
2022-04-04T14:00:00,131,1,facebook.com,General Social Networking,-2
2022-04-04T14:00:00,112,1,Firefox,Browsers,0
2022-04-04T14:00:00,110,1,piazza.com,General Reference & Learning,2
2022-04-04T14:00:00,21,1,drive.google.com,General Business,2
2022-04-04T14:00:00,21,1,Blank Web Browser,Browsers,0
2022-04-04T14:00:00,20,1,goodnotes,General Design & Composition,2
2022-04-04T14:00:00,17,1,berkeley.libcal.com,Calendars,2
2022-04-04T14:00:00,14,1,Finder,Computer,1
2022-04-04T14:00:00,9,1,about:newtab,Browsers,0
2022-04-04T14:00:00,4,1,auth.berkeley.edu,General Reference & Learning,2
2022-04-04T14:00:00,3,1,berkeley.zoom.us,Meetings,2
2022-04-04T14:00:00,2,1,app.sli.do,Uncategorized,0
2022-04-04T14:00:00,2,1,microsoft word,Writing,2
2022-04-04T14:00:00,1,1,mosaicofminds.medium.com,General News & Opinion,-2
2022-04-04T14:00:00,1,1,RescueTime,Intelligence,2
2022-04-04T15:00:00,434,1,fadedpage.com,Uncategorized,0
2022-04-04T15:00:00,146,1,Mail,Email,1
2022-04-04T15:00:00,104,1,berkeley.libcal.com,Calendars,2
2022-04-04T15:00:00,104,1,en.wikipedia.org,General Reference & Learning,2
2022-04-04T15:00:00,76,1,youtube.com,Video,-2
2022-04-04T15:00:00,72,1,anki,General Reference & Learning,2
2022-04-04T15:00:00,60,1,search.library.berkeley.edu,Uncategorized,0
2022-04-04T15:00:00,46,1,Blank Web Browser,Browsers,0
2022-04-04T15:00:00,17,1,about:newtab,Browsers,0
2022-04-04T15:00:00,16,1,send to kindle,General Reference & Learning,2
2022-04-04T15:00:00,5,1,Zoom,Meetings,2
2022-04-04T15:00:00,5,1,lib.berkeley.edu,General Reference & Learning,2
2022-04-04T15:00:00,2,1,libauth.com,Uncategorized,0
2022-04-04T20:00:00,79,1,en.wikipedia.org,General Reference & Learning,2
2022-04-04T20:00:00,64,1,bcourses.berkeley.edu,General Reference & Learning,2
2022-04-04T20:00:00,43,1,Mail,Email,1
2022-04-04T20:00:00,34,1,discord,General Entertainment,-2
2022-04-04T20:00:00,13,1,rescuetime.com,Computer,1
2022-04-04T20:00:00,13,1,edstem.org,General Communication & Scheduling,2
2022-04-04T20:00:00,13,1,todoist,Project Management,2
2022-04-04T20:00:00,11,1,calendar,Calendars,2
2022-04-04T20:00:00,10,1,about:newtab,Browsers,0
2022-04-04T20:00:00,9,1,expressvpn,Internet Utilities,1
2022-04-04T20:00:00,5,1,anki,General Reference & Learning,2
2022-04-04T20:00:00,1,1,Firefox,Browsers,0
2022-04-04T20:00:00,1,1,gradescope.com,General Reference & Learning,2
2022-04-04T20:00:00,1,1,piazza.com,General Reference & Learning,2
2022-04-04T20:00:00,1,1,freedom.to,Internet Utilities,1
2022-04-04T21:00:00,342,1,archive.org,Search,1
2022-04-04T21:00:00,49,1,en.wikipedia.org,General Reference & Learning,2
2022-04-04T21:00:00,34,1,bcourses.berkeley.edu,General Reference & Learning,2
2022-04-04T21:00:00,16,1,send to kindle,General Reference & Learning,2
2022-04-04T21:00:00,13,1,Blank Web Browser,Browsers,0
2022-04-04T21:00:00,8,1,anki,General Reference & Learning,2
2022-04-04T21:00:00,7,1,acrobat pro dc,General Utilities,1
2022-04-04T21:00:00,5,1,Firefox,Browsers,0
2022-04-04T22:00:00,1484,1,anki,General Reference & Learning,2
2022-04-04T22:00:00,464,1,en.wikipedia.org,General Reference & Learning,2
2022-04-04T22:00:00,232,1,archive.org,Search,1
2022-04-04T22:00:00,105,1,en.wikisource.org,Search,1
2022-04-04T22:00:00,83,1,www-oxfordreference-com.libproxy.berkeley.edu,General Reference & Learning,2
2022-04-04T22:00:00,49,1,allpoetry.com,Administration,2
2022-04-04T22:00:00,44,1,about:newtab,Browsers,0
2022-04-04T22:00:00,23,1,guides.lib.berkeley.edu,General Reference & Learning,2
2022-04-04T22:00:00,9,1,lib.berkeley.edu,General Reference & Learning,2
2022-04-04T22:00:00,6,1,RescueTime,Intelligence,2
2022-04-04T22:00:00,5,1,todoist,Project Management,2
2022-04-04T22:00:00,5,1,login.libproxy.berkeley.edu,Uncategorized,0
2022-04-04T22:00:00,3,1,Blank Web Browser,Browsers,0
2022-04-04T22:00:00,2,1,auth.berkeley.edu,General Reference & Learning,2
2022-04-04T23:00:00,2647,1,anki,General Reference & Learning,2
2022-04-04T23:00:00,500,1,en.wikipedia.org,General Reference & Learning,2
2022-04-04T23:00:00,120,1,web-p-ebscohost-com.libproxy.berkeley.edu,Uncategorized,0
2022-04-04T23:00:00,78,1,poets.org,Writing,2
2022-04-04T23:00:00,71,1,www-oxfordreference-com.libproxy.berkeley.edu,General Reference & Learning,2
2022-04-04T23:00:00,61,1,guides.lib.berkeley.edu,General Reference & Learning,2
2022-04-04T23:00:00,51,1,allpoetry.com,Administration,2
2022-04-04T23:00:00,41,1,Blank Web Browser,Browsers,0
2022-04-04T23:00:00,9,1,about:newtab,Browsers,0
2022-04-04T23:00:00,9,1,accounts.google.com,General Communication & Scheduling,2
2022-04-04T23:00:00,5,1,google.com,Search,1
2022-04-04T23:00:00,4,1,lib.berkeley.edu,General Reference & Learning,2
2022-04-04T23:00:00,1,1,users,General Software Development,2
2022-04-05T00:00:00,2784,1,anki,General Reference & Learning,2
2022-04-05T00:00:00,438,1,en.wikipedia.org,General Reference & Learning,2
2022-04-05T00:00:00,345,1,microsoft word,Writing,2
2022-04-05T00:00:00,14,1,google.com,Search,1
2022-04-05T00:00:00,9,1,about:newtab,Browsers,0
2022-04-05T00:00:00,9,1,Blank Web Browser,Browsers,0
2022-04-05T01:00:00,991,1,anki,General Reference & Learning,2
2022-04-05T01:00:00,374,1,en.wikipedia.org,General Reference & Learning,2
2022-04-05T10:00:00,146,1,Firefox,Browsers,0
2022-04-05T10:00:00,7,1,RescueTime,Intelligence,2
2022-04-05T10:00:00,1,1,anki,General Reference & Learning,2
2022-04-05T11:00:00,2704,1,Zoom,Meetings,2
2022-04-05T11:00:00,264,1,bcourses.berkeley.edu,General Reference & Learning,2
2022-04-05T11:00:00,244,1,goodnotes,General Design & Composition,2
2022-04-05T11:00:00,113,1,todoist,Project Management,2
2022-04-05T11:00:00,78,1,gradescope.com,General Reference & Learning,2
2022-04-05T11:00:00,70,1,Firefox,Browsers,0
2022-04-05T11:00:00,46,1,Finder,Computer,1
2022-04-05T11:00:00,27,1,drive.google.com,General Business,2
2022-04-05T11:00:00,17,1,en.wikisource.org,Search,1
2022-04-05T11:00:00,11,1,about:newtab,Browsers,0
2022-04-05T11:00:00,7,1,berkeley.zoom.us,Meetings,2
2022-04-05T11:00:00,5,1,Blank Web Browser,Browsers,0
2022-04-05T11:00:00,5,1,iheart.com,Music,-2
2022-04-05T11:00:00,4,1,google.com,Search,1
2022-04-05T12:00:00,1320,1,Zoom,Meetings,2
2022-04-05T12:00:00,70,1,bcourses.berkeley.edu,General Reference & Learning,2
2022-04-05T12:00:00,38,1,laborcenter.berkeley.edu,Legal & Gov't,2
2022-04-05T12:00:00,19,1,goodnotes,General Design & Composition,2
2022-04-05T12:00:00,19,1,en.wikisource.org,Search,1
2022-04-05T13:00:00,1881,1,anki,General Reference & Learning,2
2022-04-05T13:00:00,601,1,en.wikipedia.org,General Reference & Learning,2
2022-04-05T13:00:00,89,1,wikiart.org,General Reference & Learning,2
2022-04-05T13:00:00,89,1,go-gale-com.libproxy.berkeley.edu,General Reference & Learning,2
2022-04-05T13:00:00,67,1,bcourses.berkeley.edu,General Reference & Learning,2
2022-04-05T13:00:00,55,1,allpoetry.com,Administration,2
2022-04-05T13:00:00,40,1,Blank Web Browser,Browsers,0
2022-04-05T13:00:00,31,1,speedtest,Internet Utilities,1
2022-04-05T13:00:00,30,1,about:newtab,Browsers,0
2022-04-05T13:00:00,28,1,System Preferences,Computer,1
2022-04-05T13:00:00,28,1,freedom.to,Internet Utilities,1
2022-04-05T13:00:00,15,1,supersummary.com,General Reference & Learning,2
2022-04-05T13:00:00,14,1,goodnotes,General Design & Composition,2
2022-04-05T13:00:00,11,1,web-p-ebscohost-com.libproxy.berkeley.edu,Uncategorized,0
2022-04-05T13:00:00,9,1,Firefox,Browsers,0
2022-04-05T13:00:00,7,1,systemstatus.berkeley.edu,General Reference & Learning,2
2022-04-05T13:00:00,7,1,web.archive.org,Search,1
2022-04-05T13:00:00,6,1,britannica.com,Search,1
2022-04-05T13:00:00,6,1,guides.lib.berkeley.edu,General Reference & Learning,2
2022-04-05T13:00:00,4,1,auth.berkeley.edu,General Reference & Learning,2
2022-04-05T13:00:00,3,1,login.libproxy.berkeley.edu,Uncategorized,0
2022-04-05T13:00:00,2,1,google.com,Search,1
2022-04-05T13:00:00,2,1,lib.berkeley.edu,General Reference & Learning,2
2022-04-05T14:00:00,299,1,anki,General Reference & Learning,2
2022-04-05T14:00:00,55,1,en.wikipedia.org,General Reference & Learning,2
2022-04-05T14:00:00,49,1,Firefox,Browsers,0
2022-04-05T14:00:00,23,1,bcourses.berkeley.edu,General Reference & Learning,2
2022-04-05T14:00:00,3,1,allpoetry.com,Administration,2
2022-04-05T14:00:00,1,1,Blank Web Browser,Browsers,0
2022-04-05T17:00:00,1752,1,colab.research.google.com,Search,1
2022-04-05T17:00:00,387,1,bcourses.berkeley.edu,General Reference & Learning,2
2022-04-05T17:00:00,112,1,todoist,Project Management,2
2022-04-05T17:00:00,94,1,piazza.com,General Reference & Learning,2
2022-04-05T17:00:00,62,1,anki,General Reference & Learning,2
2022-04-05T17:00:00,19,1,Blank Web Browser,Browsers,0
2022-04-05T17:00:00,16,1,people.ischool.berkeley.edu,General Reference & Learning,2
2022-04-05T17:00:00,16,1,about:newtab,Browsers,0
2022-04-05T17:00:00,11,1,Firefox,Browsers,0
2022-04-05T17:00:00,11,1,gradescope.com,General Reference & Learning,2
2022-04-05T17:00:00,6,1,Github,General Software Development,2
